phi,thetha,r,t
-72.6110610961914,90.1434421241283,32447.5356465887,1.10000000102445
-72.6149444580078,90.1435404121876,32481.3342791523,1.22000000113621
-72.6188354492188,90.1436386853457,32514.997962106,1.34000000124797
-72.6227264404297,90.1437369138002,32548.5269130708,1.46000000135973
-72.6266098022461,90.1438351273537,32581.9212436272,1.58000000147149
-72.630500793457,90.1439332962036,32615.1810485884,1.70000000158325
-72.6343841552734,90.1440314501524,32648.3064642771,1.82000000169501
-72.6382675170898,90.1441295892,32681.2976811629,1.94000000180677
-72.6421508789063,90.1442276984453,32714.1548833286,2.06000000191852
-72.6460342407227,90.1443257927895,32746.8781753646,2.18000000203028
-72.6499176025391,90.1444238722324,32779.4676641509,2.30000000214204
-72.6538009643555,90.1445219367743,32811.9234584724,2.4200000022538
-72.6576766967773,90.1446199864149,32844.2457231445,2.54000000236556
-72.6615600585938,90.1447180360556,32876.4345855895,2.66000000247732
-72.6654357910156,90.1448160558939,32908.4900821312,2.78000000258908
-72.6693115234375,90.1449140757322,32940.4122564078,2.90000000270084
-72.6731948852539,90.1450120657682,32972.2011743349,3.02000000281259
-72.6770706176758,90.1451100409031,33003.8569563214,3.14000000292435
-72.6809463500977,90.1452079862356,33035.3795592251,3.26000000303611
-72.6848220825195,90.1453058570623,33066.7683387391,3.38000000314787
-72.6886901855469,90.1454036831856,33098.0238469336,3.50000000325963
-72.6925659179688,90.14550152421,33129.1471966682,3.62000000337139
-72.6964416503906,90.1455994099379,33160.1386829421,3.74000000348315
-72.700309753418,90.1456973403692,33190.9982928191,3.86000000359491
-72.7041854858398,90.1457952708006,33221.7257398756,3.98000000370666
-72.7080535888672,90.145893201232,33252.3211045902,4.10000000381842
-72.7119216918945,90.1459909826517,33282.7849631421,4.22000000393018
-72.7157897949219,90.1460884958506,33313.11745345,4.34000000404194
-72.7196578979492,90.1461857259274,33343.3187815838,4.4600000041537
-72.7235260009766,90.1462826579809,33373.3890548189,4.58000000426546
-72.7273941040039,90.1463793367147,33403.3289330045,4.70000000437722
-72.7312545776367,90.1464758515358,33433.1393435319,4.82000000448897
-72.7351226806641,90.1465722620487,33462.8198447886,4.94000000460073
-72.7389831542969,90.1466686874628,33492.3698156991,5.06000000471249
-72.7428512573242,90.1467651277781,33521.7885733865,5.18000000482425
-72.746711730957,90.1468615680933,33551.0760285896,5.30000000493601
-72.7505722045898,90.1469579488039,33580.231510486,5.42000000504777
-72.7544326782227,90.147054284811,33609.2549467484,5.54000000515953
-72.7582931518555,90.1471505463123,33638.1464215606,5.66000000527129
-72.7621536254883,90.1472467631102,33666.9060259694,5.78000000538304
-72.7660140991211,90.1473429650068,33695.5346940163,5.9000000054948
-72.7698745727539,90.1474392265081,33724.0331091216,6.02000000560656
-72.7737350463867,90.1475355178118,33752.4014044082,6.14000000571832
-72.777587890625,90.1476318389177,33780.639387888,6.26000000583008
-72.7814483642578,90.1477281749249,33808.74689346,6.38000000594184
-72.7853012084961,90.1478244811296,33836.7233324616,6.5000000060536
-72.7891540527344,90.1479207277298,33864.5685162736,6.62000000616536
-72.7930145263672,90.1480169147253,33892.2825159008,6.74000000627711
-72.7968673706055,90.1481130421162,33919.8654206883,6.86000000638887
-72.8007202148438,90.1482091397047,33947.3174624781,6.98000000650063
-72.804573059082,90.1483052670956,33974.6397450541,7.10000000661239
-72.8084259033203,90.1484014391899,34001.8326636147,7.22000000672415
-72.8122711181641,90.1484976708889,34028.8960975445,7.34000000683591
-72.8161239624023,90.1485939174891,34055.8296136305,7.46000000694767
-72.8199768066406,90.1486901342869,34082.6329440194,7.58000000705943
-72.8238220214844,90.1487861871719,34109.3062041478,7.70000000717118
-72.8276748657227,90.1488820612431,34135.8496669544,7.82000000728294
-72.8315200805664,90.1489776819944,34162.2638052059,7.9400000073947
-72.8353652954102,90.1490731090307,34188.5493251764,8.06000000750646
-72.8392105102539,90.1491684764624,34214.7065678494,8.18000000761822
-72.8430633544922,90.149263843894,34240.7351476214,8.30000000772998
-72.8469085693359,90.1493592858315,34266.6347100136,8.42000000784174
-72.8507461547852,90.1494547426701,34292.4048312393,8.54000000795349
-72.8545913696289,90.1495501995087,34318.0451482525,8.66000000806525
-72.8584365844727,90.1496456116438,34343.5551579928,8.78000000817701
-72.8622817993164,90.1497409790754,34368.934875846,8.90000000828877
-72.8661193847656,90.1498363018036,34394.1843634502,9.02000000840053
-72.8699645996094,90.1499315798283,34419.3037791435,9.14000000851229
-72.8738021850586,90.1500269025564,34444.2940843941,9.26000000862405
-72.8776473999023,90.1501222848892,34469.155773156,9.38000000873581
-72.8814849853516,90.1502177268267,34493.8888925192,9.50000000884756
-72.8853225708008,90.1503131836653,34518.4935277475,9.62000000895932
-72.88916015625,90.1504085659981,34542.9700654038,9.74000000907108
-72.8929977416992,90.1505039483309,34567.312693906,9.86000000918284
-72.896842956543,90.1506001800299,34591.464325145,9.9800000092946
-72.9006805419922,90.1506974101067,34615.4141564611,10.1000000094064
-72.9045257568359,90.1507956385612,34639.1615586648,10.2200000095181
-72.9083633422852,90.1508948802948,34662.7057329261,10.3400000096299
-72.9122085571289,90.150995105505,34686.0457295578,10.4600000097416
-72.9160537719727,90.1510971188545,34709.1920333109,10.5800000098534
-72.9198989868164,90.1512016803026,34732.1544864912,10.7000000099652
-72.9237442016602,90.1513085961342,34754.9299108302,10.8200000100769
-72.9275894165039,90.1514180153608,34777.5197912389,10.9400000101887
-72.9314270019531,90.1515297293663,34799.921329443,11.0600000103004
-72.9352722167969,90.1516438871622,34822.1366467071,11.1800000104122
-72.9391021728516,90.15176025033,34844.1636460241,11.3000000105239
-72.9429397583008,90.1518789231777,34866.0054087399,11.4200000106357
-72.9467697143555,90.1519980430603,34887.6789085839,11.5400000107475
-72.9505920410156,90.1521168798208,34909.1873808838,11.6600000108592
-72.9544067382813,90.1522352099419,34930.5301984963,11.780000010971
-72.9582214355469,90.1523520201445,34951.7179472647,11.9000000110827
-72.9620361328125,90.1524666249752,34972.7639931018,12.0200000111945
-72.9658355712891,90.1525773257017,34993.6956947559,12.1400000113063
-72.9696426391602,90.1526838541031,35014.5167042926,12.260000011418
-72.9734420776367,90.1527862250805,35035.2286575261,12.3800000115298
-72.9772338867188,90.1528844237328,35055.8330794721,12.5000000116415
-72.9810256958008,90.1529784798622,35076.3313335918,12.6200000117533
-72.9848175048828,90.1530678570271,35096.7274792865,12.7400000118651
-72.9886016845703,90.1531512886286,35117.0214011683,12.8600000119768
-72.9923934936523,90.153229907155,35137.2256895424,12.9800000120886
-72.9961776733398,90.1533044874668,35157.3469402452,13.1000000122003
-72.9999618530273,90.153375133872,35177.3845759558,13.2200000123121
-73.0037460327148,90.1534419059753,35197.3381295543,13.3400000124238
-73.0075302124023,90.1535051316023,35217.2060435568,13.4600000125356
-73.0113143920898,90.1535675823689,35236.974263906,13.5800000126474
-73.0150985717773,90.1536298543215,35256.6416410221,13.7000000127591
-73.0188751220703,90.1536920368671,35276.2097783152,13.8200000128709
-73.0226516723633,90.1537541747093,35295.6802497447,13.9400000129826
-73.0264282226563,90.1538170576096,35315.0567258022,14.0600000130944
-73.0301971435547,90.1538812071085,35334.3404387428,14.1800000132062
-73.0339736938477,90.1539467275143,35353.530435682,14.3000000133179
-73.0377426147461,90.1540147811174,35372.6209722705,14.4200000134297
-73.0415115356445,90.1540862470865,35391.609789727,14.5400000135414
-73.045280456543,90.1541604250669,35410.5002369648,14.6600000136532
-73.0490493774414,90.1542369872332,35429.2933760539,14.7800000137649
-73.0528182983398,90.1543156504631,35447.9868792791,14.9000000138767
-73.0565872192383,90.1543964147568,35466.578506029,15.0200000139885
-73.0603561401367,90.1544792950153,35485.066024547,15.1400000141002
-73.0641250610352,90.1545642763376,35503.4472286135,15.260000014212
-73.0678939819336,90.1546510905027,35521.721052079,15.3800000143237
-73.0716705322266,90.154739677906,35539.8858640082,15.5000000144355
-73.0754470825195,90.1548303514719,35557.9382666859,15.6200000145473
-73.079216003418,90.1549230664968,35575.8762829803,15.740000014659
-73.0829925537109,90.1550177186728,35593.6983329585,15.8600000147708
-73.0867691040039,90.1551138758659,35611.4054282862,15.9800000148825
-73.0905456542969,90.1552120000124,35628.9926079892,16.1000000149943
-73.0943298339844,90.1553117781878,35646.4603475434,16.2200000151061
-73.0981063842773,90.1554131358862,35663.8074636961,16.3400000152178
-73.1018905639648,90.1555160433054,35681.0329267361,16.4600000153296
-73.1056671142578,90.1556206643581,35698.1333432078,16.5800000154413
-73.1094512939453,90.1557268053293,35715.1088840056,16.7000000155531
-73.1132354736328,90.1558342427015,35731.9607683939,16.8200000156648
-73.1170196533203,90.155942901969,35748.6881092923,16.9400000157766
-73.1208114624023,90.156053006649,35765.2877095771,17.0600000158884
-73.1245956420898,90.1561643779278,35781.7598367386,17.1800000160001
-73.1283874511719,90.1562763154507,35798.1032822047,17.3000000161119
-73.1321716308594,90.1563877910376,35814.3159254331,17.4200000162236
-73.1359634399414,90.1564997583628,35830.3932259327,17.5400000163354
-73.1397552490234,90.1566125750542,35846.338309534,17.6600000164472
-73.1435546875,90.1567249000072,35862.1481643112,17.7800000165589
-73.147346496582,90.1568371653557,35877.8208354907,17.9000000166707
-73.1511459350586,90.1569496840239,35893.3615384935,18.0200000167824
-73.1549377441406,90.157061368227,35908.7682178208,18.1400000168942
-73.1587371826172,90.1571731120348,35924.0376937065,18.260000017006
